Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Nine,Chapter 2,"Apr 20,21",24,"Romance,Shoujo",Ongoing,4,https://avt.mkklcdnv6temp.com/6/r/24-1618847234.jpg
Hokuou Kizoku To Moukinzuma No Yukiguni Karigurashi,Chapter 61,"Apr 26,21",8,"Comedy,Historical,Josei,Romance,Slice of life",Ongoing,4,https://avt.mkklcdnv6temp.com/43/r/16-1583495035.jpg
Second Life Of A Gangster,Chapter 51,"Mar 30,21",38,"Action,Fantasy,Psychological,Romance,Seinen,Slice of life,Webtoons,Manhwa",Ongoing,4,https://avt.mkklcdnv6temp.com/10/q/23-1611632964.jpg
A Returner's Magic Should Be Special,Chapter 145,"Apr 25,21",14,"Action,Adventure,Comedy,Drama,Fantasy,Martial arts,Romance,School life,Shounen,Slice of life,Supernatural,Webtoons",Ongoing,4,https://avt.mkklcdnv6temp.com/19/m/17-1583495960.jpg
Murim Login,Chapter 65,"Apr 25,21",14,Action,Ongoing,4,https://avt.mkklcdnv6temp.com/12/j/21-1589305999.jpg
Sss-Class Suicide Hunter,Chapter 34,"Apr 19,21",25,"Action,Adventure,Comedy,Drama,Fantasy,Martial arts,Psychological,Seinen,Supernatural,Webtoons,Manhwa",Ongoing,4,https://avt.mkklcdnv6temp.com/2/l/23-1609948262.jpg
Argonavis From Bang Dream! Comics,Chapter 14 : Starting Line,"Apr 27,21",7,Manhua,Ongoing,4,https://avt.mkklcdnv6temp.com/47/h/23-1617120555.jpg
Anyone Can Become A Villainess,Chapter 20,"Apr 26,21",10,"Drama,Fantasy,Historical,Romance",Ongoing,4,https://avt.mkklcdnv6temp.com/19/h/23-1612289204.jpg
Asirhart Kingdom’S Aide,Chapter 14,"Apr 28,21",2,"Drama,Fantasy,Historical,Romance",Ongoing,4,https://avt.mkklcdnv6temp.com/7/g/24-1619063057.jpg
Gokushufudou: The Way Of The House Husband,Chapter 70,"Apr 19,21",25,"Comedy,Seinen",Ongoing,4,https://avt.mkklcdnv6temp.com/15/g/16-1583494021.jpg
Star Martial God Technique,Chapter 443,"Apr 26,21",11,"Action,Adventure,Drama,Fantasy,Harem,Martial arts,Romance,Seinen,Manhua",Ongoing,4,https://avt.mkklcdnv6temp.com/32/i/14-1583490877.jpg
Uzaki-Chan Wa Asobitai!,Chapter 66.2,"Apr 18,21",26,"Comedy,Ecchi,Romance,Slice of life",Ongoing,4,https://avt.mkklcdnv6temp.com/20/e/16-1583494195.jpg
"Please Don't Bully Me, Nagatoro",Chapter 81,"Apr 20,21",24,"Comedy,Romance,School life,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/2/g/16-1583493543.jpg
Yours And My Different Meanings,Ch.1,"Jan 20,16",618,"One shot,Shoujo ai,Yuri",Completed,4,https://avt.mkklcdnv6temp.com/33/w/12-1583487097.jpg
Dachi No Imouto,Chapter 12,"Apr 22,21",21,"Comedy,Josei,Romance,School life",Ongoing,4,https://avt.mkklcdnv6temp.com/19/b/22-1600660573.jpg
Yasei No Last Boss Ga Arawareta!,Chapter 39,"Mar 11,21",58,"Action,Adventure,Drama,Fantasy,Gender bender,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/39/y/15-1583493041.jpg
Rebirth Of The Urban Immortal Cultivator,Chapter 584,"Apr 25,21",11,"Action,Adventure,Fantasy,Martial arts,Seinen,Slice of life,Supernatural",Ongoing,4,https://avt.mkklcdnv6temp.com/19/o/19-1583499863.jpg
Trash Of The Count’S Family,Chapter 47,"Apr 17,21",27,"Action,Adventure,Comedy,Fantasy",Ongoing,4,https://avt.mkklcdnv6temp.com/7/h/22-1598935543.jpg
Seven Day Alternating Personality Syndrome,Chapter 4: Punishment,"Apr 20,21",24,"Ecchi,Mystery,Psychological,Seinen",Ongoing,4,https://avt.mkklcdnv6temp.com/45/y/23-1617027573.jpg
The Player That Can't Level Up,Chapter 28,"Apr 26,21",11,"Action,Adventure,Fantasy,Mystery",Ongoing,4,https://avt.mkklcdnv6temp.com/34/k/23-1614564316.jpg
One Piece,Chapter 1007,"Mar 12,21",57,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/3/u/1-1583463814.jpg
Boku No Hero Academia,Chapter 279,"Jul 20,20",154,"Action,Comedy,Fantasy,School life,Sci fi,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/23/e/1-1583464609.jpg
Rizelmine,Chapter 6.5: Level.00 Omake,"Mar 13,20",178,"Action,Adult,Comedy,Cooking,Fantasy,Romance,School life,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/7/a/5-1583472140.jpg
Wallaby,Chapter 8,"Feb 21,20",182,"Comedy,School life,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/1/k/4-1583471860.jpg
Gyo (Shuichi Sashimi),Chapter: Oneshot,"Dec 30,19",192,"Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/14/m/20-1583501584.jpg
Gensou Suikoden: Uke Tsugareshi Monshou,Vol.2 Chapter 4,"Dec 15,19",196,"Adventure,Fantasy,Shounen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/34/e/16-1583494700.jpg
Berubara Kids,Vol.1 Chapter 6,"Jul 01,19",227,"Comedy,Historical",Completed,5,https://avt.mkklcdnv6temp.com/41/f/18-1583498699.jpg
Chidaruma Kenpou Onorera Ni Tsugu,Vol.1 Chapter 3: Onorera Ni Tsugu,"May 29,19",232,"Historical,Martial arts,Mature,Seinen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/33/q/6-1583475485.jpg
Sabel Tiger,Vol.1 Chapter 2: The Planet Of The Unicorn,"May 24,19",233,"Drama,Psychological,Sci fi,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/29/w/18-1583498235.jpg
Midnight,Vol.6 Chapter 53: Act.53 [End],"May 05,19",235,"Drama,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/34/t/1-1583465064.jpg
Super Remix Best,Vol.1 Chapter 2: My Health (2),"Apr 13,19",238,"Comedy,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/16/t/18-1583497741.jpg
Himitsu No Kaidan,Vol.2 Chapter 14: A Distant Promise,"Mar 17,19",243,"School life,Shoujo,Slice of life,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/4/w/11-1583484170.jpg
Fm Kamihama Holy Radio Station - Mahou Shoujo Madoka Magica Side Story Magia Record,Chapter 22,"Mar 19,19",243,Comedy,Completed,5,https://avt.mkklcdnv6temp.com/7/j/18-1583497370.jpg
Even,Chapter 3,"Jan 18,19",252,"One shot,Shoujo ai,Sports",Completed,5,https://avt.mkklcdnv6temp.com/28/j/8-1583479257.jpg
Diabolo,Vol.3 Shards Of An Angel,"Jan 18,19",252,"Drama,Horror,Josei,Psychological,Supernatural,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/39/j/12-1583487320.jpg
Sengoku Tsukiyo,Vol.2 Sengoku Nights,"Dec 07,18",258,"Action,Comedy,Gender bender,Horror,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/28/q/5-1583472969.jpg
Fushou No Musuko,Vol.01 Chapter 7 : That Lovely Girl,"Nov 19,18",261,"Drama,One shot,Shounen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/13/i/6-1583474654.jpg
Matsuri Night,Vol.1 Chapter 1,"Oct 25,18",264,"Mystery,One shot",Completed,5,https://avt.mkklcdnv6temp.com/25/s/12-1583486776.jpg
Mystique Mandala Of Hell (Hino Horror #12),Chapter 6: Alone Again End,"Oct 18,18",265,Horror,Completed,5,https://avt.mkklcdnv6temp.com/14/u/17-1583495797.jpg
Satoshi Kon's Opus,Chapter 20 [End],"Oct 18,18",265,"Action,Adult,Adventure,Drama,Fantasy,Mystery,Psychological,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/14/k/17-1583495784.jpg
Final Fantasy Type-0 Side Story: The Ice Reaper,Vol.5 Extra Chapter: If Only... [End],"Oct 13,18",266,"Comedy,Fantasy,School life,Shounen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/11/z/17-1583495699.jpg
Soregashi Kojiki Ni Arazu,"Chapter 6: No One May Wish For War, But...","Sep 29,18",268,"Drama,Historical,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/17/w/10-1583482810.jpg
Trigun: Rising,Chapter 3: Trigun: The Lost Plant,"Sep 16,18",270,"Action,Fantasy,One shot,Sci fi,Seinen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/29/i/11-1583485070.jpg
Toki Wo Kakeru Shoujo,Vol.2 Final Chapter,"Sep 18,18",270,"Action,Adult,Cooking,Romance,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/30/v/11-1583485124.jpg
The Isle,Chapter 15: Normal [End],"Aug 30,18",272,"Drama,Webtoons",Completed,5,https://avt.mkklcdnv6temp.com/24/s/13-1583488636.jpg
Shinmai Fukei Kiruko-San,Chapter 25: See You Tomorrow [End],"Aug 23,18",273,"Action,Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/48/l/5-1583473783.jpg
Tomonen,"Chapter 6 [End]: Youko, A Little Girl [End]","Aug 14,18",274,"Fantasy,Josei,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/45/k/16-1583495101.jpg
Please God,Chapter 11: Sayuri-San's Worries (End),"Aug 15,18",274,"Adult,Comedy,Drama,Josei,Shoujo ai",Completed,5,https://avt.mkklcdnv6temp.com/41/i/2-1583467288.jpg
